front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
E,5,4,5,20,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,300,0,No,No,No,No,No,عكاظ,South of Riyadh,1050000.0,3500.0
W,4,3,5,20,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,540,2,Yes,Yes,No,No,No,المهدية,West of Riyadh,3000000.0,5555.555555555556
SE,7,2,5,15,Yes,31,Yes,No,Yes,Yes,Yes,Yes,No,875,0,Yes,No,No,No,No,الشفا,South of Riyadh,2000000.0,2285.714285714286
W,7,3,5,15,Yes,3,No,Yes,Yes,Yes,No,Yes,Yes,200,0,Yes,No,Yes,No,No,ظهرة لبن,West of Riyadh,894000.0,4470.0
N,4,2,4,25,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,400,3,Yes,Yes,Yes,No,No,قرطبة,East of Riyadh,3500000.0,8750.0
NE,7,2,5,10,Yes,0,No,Yes,Yes,Yes,No,Yes,No,500,0,No,No,No,No,No,السويدي,West of Riyadh,800000.0,1600.0
N,6,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,275,0,No,Yes,No,No,No,المهدية,West of Riyadh,2100000.0,7636.363636363636
N,7,3,5,25,Yes,6,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1100000.0,3666.6666666666665
S,5,2,4,14,No,35,No,No,Yes,Yes,No,Yes,No,585,0,No,No,No,No,No,الروضة,East of Riyadh,1900000.0,3247.863247863248
NE,5,5,5,22,Yes,0,No,No,Yes,Yes,Yes,Yes,No,360,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1200000.0,3333.333333333333
SW,5,2,5,15,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes,No,780,3,Yes,No,No,No,No,القادسية,East of Riyadh,3900000.0,5000.0
S,5,4,5,21,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,No,No,No,No,No,بدر,South of Riyadh,1050000.0,3500.0
N,4,2,5,15,Yes,10,Yes,Yes,Yes,Yes,Yes,Yes,No,540,2,Yes,No,No,No,No,قرطبة,East of Riyadh,3100000.0,5740.740740740741
NE,6,2,4,30,No,0,No,No,No,Yes,No,No,No,600,0,No,No,No,No,No,المدينة الصناعية الجديدة,South of Riyadh,900000.0,1500.0
NW,5,3,5,21,Yes,0,No,No,Yes,Yes,Yes,Yes,No,260,0,No,No,No,No,No,عكاظ,South of Riyadh,1030000.0,3961.538461538461
N,5,2,5,15,Yes,0,No,No,Yes,Yes,Yes,Yes,No,300,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1050000.0,3500.0
E,5,5,5,20,Yes,0,No,No,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1100000.0,3666.6666666666665
N,7,2,5,15,Yes,0,No,Yes,No,Yes,No,Yes,No,270,1,Yes,No,No,No,No,الجنادرية,East of Riyadh,1400000.0,5185.185185185185
N,5,2,4,15,No,23,Yes,No,No,Yes,No,Yes,No,552,2,Yes,No,No,No,No,الفاخرية,West of Riyadh,1200000.0,2173.913043478261
E,7,2,5,20,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,375,2,Yes,Yes,No,Yes,No,الشرق,East of Riyadh,2000000.0,5333.333333333333
W,5,2,5,20,Yes,0,No,No,Yes,Yes,Yes,Yes,Yes,220,0,Yes,No,No,No,No,العارض,North of Riyadh,2000000.0,9090.90909090909
S,6,3,5,15,Yes,3,No,Yes,Yes,Yes,Yes,Yes,Yes,275,0,No,No,No,No,No,بدر,South of Riyadh,900000.0,3272.7272727272725
E,4,3,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,No,No,No,No,No,عكاظ,South of Riyadh,1150000.0,3833.3333333333335
E,5,5,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,Yes,No,عكاظ,South of Riyadh,990000.0,3300.0
N,5,2,5,22,No,8,No,No,Yes,Yes,Yes,Yes,No,375,0,No,No,No,No,No,الدار البيضاء,South of Riyadh,950000.0,2533.333333333333
E,5,5,5,30,Yes,0,No,No,Yes,Yes,Yes,Yes,Yes,350,0,No,No,No,No,No,عكاظ,South of Riyadh,1130000.0,3228.5714285714284
N,5,3,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,Yes,No,No,No,عكاظ,South of Riyadh,980000.0,3266.6666666666665
SW,5,5,5,29,Yes,0,No,No,Yes,Yes,Yes,Yes,No,377,1,No,No,No,No,No,عكاظ,South of Riyadh,1600000.0,4244.031830238727
N,7,5,5,15,Yes,5,No,No,Yes,Yes,No,Yes,No,600,0,Yes,No,No,Yes,No,طويق,West of Riyadh,1700000.0,2833.333333333333
E,5,5,5,25,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,350,0,No,No,No,No,No,عكاظ,South of Riyadh,1150000.0,3285.714285714286
NW,6,1,4,15,No,0,No,No,Yes,Yes,No,Yes,No,300,1,No,No,No,No,No,احد,South of Riyadh,1150000.0,3833.3333333333335
E,4,3,4,30,Yes,0,No,No,Yes,Yes,Yes,Yes,Yes,350,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1130000.0,3228.5714285714284
S,5,2,5,28,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,270,1,Yes,No,No,No,No,عكاظ,South of Riyadh,1150000.0,4259.259259259259
E,5,4,5,17,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,300,1,Yes,No,No,No,No,بدر,South of Riyadh,1175000.0,3916.6666666666665
E,5,5,5,25,Yes,0,No,No,Yes,Yes,Yes,Yes,Yes,350,0,No,No,No,No,No,عكاظ,South of Riyadh,1150000.0,3285.714285714286
S,5,3,5,20,Yes,0,No,No,No,Yes,No,Yes,Yes,375,1,Yes,No,No,No,No,طويق,West of Riyadh,1500000.0,4000.0
S,4,1,3,20,Yes,5,No,Yes,Yes,Yes,No,Yes,Yes,250,2,No,No,No,No,No,بدر,South of Riyadh,800000.0,3200.0
E,7,2,4,15,No,15,Yes,Yes,Yes,Yes,No,Yes,No,380,0,Yes,No,No,No,No,النهضة,East of Riyadh,1700000.0,4473.684210526316
S,6,2,5,15,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,350,0,Yes,Yes,No,No,No,العارض,North of Riyadh,2800000.0,8000.0
E,4,3,5,5,Yes,0,No,No,No,Yes,Yes,Yes,No,420,1,Yes,Yes,No,No,No,بدر,South of Riyadh,1500000.0,3571.428571428572
E,7,1,4,15,Yes,0,Yes,Yes,Yes,Yes,No,Yes,No,360,2,Yes,No,No,No,No,الخليج,East of Riyadh,1950000.0,5416.666666666667
S,5,1,4,15,No,10,Yes,Yes,Yes,Yes,No,Yes,No,500,3,Yes,No,No,No,No,اشبيلية,East of Riyadh,2200000.0,4400.0
N,5,1,3,20,No,35,Yes,Yes,Yes,Yes,No,Yes,No,400,1,Yes,No,No,No,No,طويق,West of Riyadh,900000.0,2250.0
E,5,2,4,15,Yes,22,Yes,Yes,Yes,Yes,No,Yes,No,500,2,Yes,No,No,No,No,اشبيلية,East of Riyadh,2100000.0,4200.0
S,5,1,3,15,No,23,Yes,Yes,Yes,Yes,No,Yes,No,500,3,Yes,No,No,No,No,الخليج,East of Riyadh,2200000.0,4400.0
SE,7,2,4,20,No,20,Yes,Yes,Yes,Yes,Yes,Yes,No,975,0,Yes,No,No,No,No,الملك فيصل,East of Riyadh,3500000.0,3589.74358974359
NE,6,1,4,14,No,11,Yes,Yes,Yes,Yes,No,Yes,No,445,2,Yes,No,No,No,No,اشبيلية,East of Riyadh,2200000.0,4943.820224719101
N,7,1,3,20,No,20,Yes,Yes,Yes,Yes,No,Yes,No,750,0,Yes,No,No,No,No,الخليج,East of Riyadh,3000000.0,4000.0
N,6,2,4,20,No,15,Yes,Yes,Yes,Yes,No,Yes,No,440,3,Yes,No,No,No,No,الخليج,East of Riyadh,2200000.0,5000.0
N,4,2,5,20,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,250,0,Yes,No,No,No,No,طويق,West of Riyadh,1150000.0,4600.0
Three Street,7,2,4,30,Yes,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2100,0,Yes,Yes,No,Yes,Yes,النسيم الغربي,East of Riyadh,4200000.0,2000.0
N,4,2,5,20,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,312,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1050000.0,3365.3846153846152
S,5,3,5,16,Yes,0,No,No,Yes,Yes,Yes,Yes,No,312,1,Yes,No,No,No,Yes,الرمال,East of Riyadh,1850000.0,5929.48717948718
E,5,3,5,20,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,No,No,No,No,No,عكاظ,South of Riyadh,1050000.0,3500.0
N,5,2,4,20,No,0,No,No,No,Yes,No,No,Yes,170,0,No,No,No,No,No,طويق,West of Riyadh,720000.0,4235.294117647059
S,4,1,3,13,No,22,Yes,Yes,Yes,Yes,No,Yes,No,391,0,Yes,No,No,No,No,النهضة,East of Riyadh,1700000.0,4347.826086956522
E,5,3,5,30,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,250,0,Yes,No,No,No,No,الحزم,West of Riyadh,1000000.0,4000.0
W,6,4,5,15,Yes,21,Yes,Yes,Yes,Yes,No,Yes,No,823,0,Yes,No,No,No,No,السلام,East of Riyadh,2200000.0,2673.1470230862697
E,7,2,4,15,No,13,Yes,Yes,Yes,Yes,No,Yes,Yes,292,0,Yes,No,No,No,No,الخليج,East of Riyadh,1300000.0,4452.054794520548
S,5,2,2,21,Yes,0,No,No,No,Yes,No,No,Yes,324,0,No,No,No,No,No,عكاظ,South of Riyadh,1100000.0,3395.061728395062
E,4,1,4,20,Yes,0,No,Yes,No,Yes,No,Yes,Yes,270,0,Yes,Yes,No,No,No,طويق,West of Riyadh,750000.0,2777.777777777778
E,6,4,5,20,Yes,0,No,Yes,Yes,Yes,No,Yes,Yes,270,0,Yes,No,No,No,No,طيبة,South of Riyadh,850000.0,3148.1481481481483
N,5,3,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,طويق,West of Riyadh,1200000.0,4000.0
W,5,5,5,24,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,375,2,Yes,Yes,No,No,No,الرمال,East of Riyadh,2050000.0,5466.666666666667
N,4,2,5,19,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,Yes,No,عكاظ,South of Riyadh,1070000.0,3566.6666666666665
N,3,1,3,35,No,0,No,No,No,Yes,No,No,No,160,0,No,No,No,No,No,الحزم,West of Riyadh,560000.0,3500.0
W,5,2,4,20,No,2,No,No,No,Yes,No,No,Yes,252,0,No,No,No,No,No,طويق,West of Riyadh,1000000.0,3968.253968253968
E,5,3,5,22,Yes,0,No,No,Yes,Yes,No,Yes,No,300,1,Yes,No,No,No,No,بدر,South of Riyadh,1180000.0,3933.3333333333335
NW,5,2,5,15,No,0,Yes,No,Yes,Yes,Yes,Yes,No,600,0,Yes,No,No,No,No,الصحافة,North of Riyadh,3600000.0,6000.0
N,4,2,5,15,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,200,0,Yes,No,No,No,No,طويق,West of Riyadh,1100000.0,5500.0
N,3,1,2,20,No,0,No,Yes,Yes,Yes,No,Yes,No,480,0,No,No,No,No,No,طويق,West of Riyadh,1350000.0,2812.5
N,5,4,5,15,No,0,Yes,No,No,Yes,No,Yes,No,312,0,No,Yes,No,No,No,النرجس,North of Riyadh,2850000.0,9134.615384615385
N,4,3,5,20,Yes,0,No,No,Yes,Yes,No,Yes,Yes,250,0,Yes,No,No,No,No,العارض,North of Riyadh,2250000.0,9000.0
N,5,3,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,280,1,Yes,No,No,No,No,الرمال,East of Riyadh,1350000.0,4821.428571428572
S,4,1,3,15,No,0,No,No,Yes,Yes,No,Yes,No,294,0,No,No,No,No,No,العزيزية,South of Riyadh,650000.0,2210.8843537414964
W,5,2,5,19,Yes,0,No,Yes,Yes,Yes,No,Yes,No,215,0,Yes,No,No,No,No,العزيزية,South of Riyadh,950000.0,4418.604651162791
N,5,2,5,15,No,0,No,Yes,Yes,Yes,No,Yes,No,250,0,No,No,No,No,No,النرجس,North of Riyadh,2000000.0,8000.0
N,5,1,3,15,No,0,No,No,Yes,Yes,No,Yes,No,280,0,No,No,No,No,No,العزيزية,South of Riyadh,630000.0,2250.0
N,5,3,5,15,No,0,No,Yes,Yes,Yes,Yes,Yes,No,280,1,Yes,Yes,No,No,No,الرمال,East of Riyadh,1500000.0,5357.142857142857
SE,4,2,4,35,No,35,No,No,No,Yes,No,No,No,625,4,No,No,No,No,No,النسيم الغربي,East of Riyadh,1150000.0,1840.0
SW,4,2,5,20,Yes,14,Yes,Yes,Yes,Yes,Yes,Yes,No,364,0,Yes,No,No,No,No,الفلاح,North of Riyadh,3000000.0,8241.758241758242
S,5,2,5,20,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,700,2,Yes,No,No,No,No,الرمال,East of Riyadh,2800000.0,4000.0
W,7,4,5,15,Yes,0,Yes,No,Yes,No,Yes,Yes,No,390,2,Yes,Yes,No,Yes,No,النرجس,North of Riyadh,3100000.0,7948.717948717948
E,7,2,5,20,Yes,0,No,Yes,Yes,Yes,No,Yes,Yes,300,0,Yes,No,No,No,No,عكاظ,South of Riyadh,1050000.0,3500.0
NW,6,2,4,20,Yes,0,No,Yes,Yes,Yes,No,Yes,No,300,1,No,Yes,No,No,No,الرمال,East of Riyadh,1400000.0,4666.666666666667
W,5,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,200,0,Yes,No,No,No,No,طويق,West of Riyadh,1030000.0,5150.0
N,1,5,5,18,No,0,Yes,Yes,Yes,Yes,No,Yes,Yes,280,0,Yes,No,No,No,No,طيبة,South of Riyadh,900000.0,3214.285714285714
W,6,3,5,20,Yes,0,No,Yes,Yes,No,Yes,Yes,Yes,280,0,No,No,No,No,No,طيبة,South of Riyadh,900000.0,3214.285714285714
E,4,3,4,28,Yes,0,No,Yes,Yes,Yes,No,Yes,Yes,225,0,Yes,No,No,No,No,بدر,South of Riyadh,850000.0,3777.777777777778
E,5,2,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,طويق,West of Riyadh,1300000.0,4333.333333333333
N,5,2,5,16,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,بدر,South of Riyadh,900000.0,3000.0
S,4,1,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,375,1,Yes,No,Yes,No,No,طويق,West of Riyadh,1550000.0,4133.333333333333
W,7,4,3,20,No,0,No,Yes,Yes,Yes,No,No,No,540,3,No,No,No,No,No,القادسية,East of Riyadh,2300000.0,4259.259259259259
E,5,2,4,22,Yes,0,No,Yes,Yes,Yes,No,Yes,No,300,2,No,No,No,No,No,الندوة,East of Riyadh,1500000.0,5000.0
E,4,2,3,20,Yes,0,No,No,No,Yes,No,No,No,238,0,No,No,No,No,No,طيبة,South of Riyadh,850000.0,3571.428571428572
N,4,2,4,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,264,1,No,No,No,No,No,الدار البيضاء,South of Riyadh,1050000.0,3977.272727272728
E,3,1,3,35,No,0,No,No,No,Yes,Yes,Yes,Yes,360,0,No,No,No,No,No,الشفا,South of Riyadh,790000.0,2194.4444444444443
N,6,3,5,20,Yes,0,No,Yes,Yes,No,Yes,Yes,No,312,2,No,No,No,No,No,الرمال,East of Riyadh,1750000.0,5608.974358974359
W,5,3,5,20,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,No,No,No,No,No,طويق,West of Riyadh,1150000.0,3833.3333333333335
N,4,2,2,15,No,0,No,No,No,Yes,No,No,No,250,0,No,No,No,No,No,بدر,South of Riyadh,850000.0,3400.0
N,5,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,نمار,West of Riyadh,1360000.0,4533.333333333333
E,5,3,5,22,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,الحزم,West of Riyadh,1200000.0,4000.0
E,5,3,5,25,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,ديراب,West of Riyadh,1200000.0,4000.0
W,4,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,216,0,Yes,No,No,No,No,الحزم,West of Riyadh,1100000.0,5092.592592592592
E,5,5,5,15,Yes,0,Yes,No,Yes,Yes,No,Yes,No,353,2,Yes,No,No,No,No,المعيزيلة,East of Riyadh,1700000.0,4815.8640226628895
S,5,3,5,20,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,275,0,No,No,No,No,No,بدر,South of Riyadh,900000.0,3272.7272727272725
N,7,3,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,315,1,Yes,No,No,No,No,بدر,South of Riyadh,1100000.0,3492.063492063492
E,6,2,5,15,Yes,0,No,Yes,Yes,Yes,No,Yes,No,300,1,Yes,Yes,No,No,No,الرمال,East of Riyadh,1400000.0,4666.666666666667
W,4,2,4,15,Yes,0,Yes,No,No,Yes,Yes,Yes,No,375,2,Yes,Yes,No,No,No,الرمال,East of Riyadh,2000000.0,5333.333333333333
S,5,5,5,15,Yes,0,Yes,Yes,Yes,Yes,No,Yes,No,312,2,Yes,No,No,No,No,الرمال,East of Riyadh,1750000.0,5608.974358974359
N,5,2,2,20,No,0,No,No,No,Yes,No,No,No,300,0,No,No,No,No,No,العزيزية,South of Riyadh,800000.0,2666.6666666666665
N,5,5,5,18,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,No,300,1,Yes,No,No,No,No,الرمال,East of Riyadh,1500000.0,5000.0
W,5,3,5,21,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,250,0,Yes,No,No,No,No,طويق,West of Riyadh,1220000.0,4880.0
N,5,3,5,20,No,0,No,Yes,Yes,Yes,No,Yes,Yes,350,0,Yes,No,No,No,No,طويق,West of Riyadh,1150000.0,3285.714285714286
E,5,5,5,15,Yes,0,Yes,No,Yes,Yes,No,Yes,Yes,275,1,Yes,No,No,No,No,القادسية,East of Riyadh,1600000.0,5818.181818181818
W,5,5,5,15,No,0,Yes,Yes,Yes,Yes,No,Yes,Yes,260,0,Yes,No,No,No,No,طيبة,South of Riyadh,900000.0,3461.538461538461
W,6,3,5,20,Yes,0,No,Yes,Yes,No,Yes,Yes,No,313,1,No,No,No,No,No,الحزم,West of Riyadh,1200000.0,3833.865814696486
N,5,2,5,20,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,ظهرة نمار,West of Riyadh,1300000.0,4333.333333333333
E,5,5,5,15,No,0,Yes,Yes,Yes,Yes,No,Yes,Yes,250,0,Yes,No,No,No,No,الرمال,East of Riyadh,1100000.0,4400.0
E,4,3,5,20,Yes,0,No,No,Yes,Yes,Yes,Yes,No,360,2,Yes,No,No,No,No,مطار الملك خالد الدولي,North of Riyadh,1700000.0,4722.222222222223
E,5,2,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,280,0,Yes,No,No,No,No,طيبة,South of Riyadh,900000.0,3214.285714285714
E,4,3,5,21,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,200,0,Yes,Yes,No,No,No,المهدية,West of Riyadh,1600000.0,8000.0
SW,7,1,4,20,Yes,0,Yes,No,Yes,Yes,No,Yes,No,300,2,Yes,No,No,No,No,الرمال,East of Riyadh,1750000.0,5833.333333333333
W,4,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,طويق,West of Riyadh,1180000.0,3933.3333333333335
S,5,3,5,18,No,0,No,Yes,Yes,Yes,Yes,Yes,Yes,250,0,No,No,No,No,No,بدر,South of Riyadh,850000.0,3400.0
S,5,2,5,15,Yes,0,No,No,Yes,Yes,No,Yes,No,255,1,Yes,No,No,No,No,القادسية,East of Riyadh,1350000.0,5294.117647058823
SE,6,3,5,15,Yes,0,No,Yes,Yes,No,No,Yes,Yes,262,0,No,No,No,No,No,بدر,South of Riyadh,880000.0,3358.7786259541986
E,3,1,5,20,No,0,No,Yes,Yes,Yes,No,Yes,No,450,0,No,No,No,No,No,ظهرة لبن,West of Riyadh,1400000.0,3111.1111111111118
E,5,2,5,20,No,0,No,Yes,Yes,Yes,Yes,Yes,No,450,0,Yes,No,Yes,No,No,الحزم,West of Riyadh,1300000.0,2888.8888888888887
S,6,2,3,20,No,0,No,No,No,Yes,No,No,Yes,270,0,No,No,No,No,No,بدر,South of Riyadh,970000.0,3592.5925925925926
W,4,3,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,375,2,Yes,Yes,No,No,No,طويق,West of Riyadh,1600000.0,4266.666666666667
E,5,3,5,20,Yes,0,No,Yes,Yes,Yes,No,Yes,No,300,1,Yes,No,No,No,No,الرمال,East of Riyadh,1350000.0,4500.0
S,6,3,5,20,Yes,0,No,Yes,Yes,No,Yes,Yes,No,244,1,No,No,No,No,No,الرمال,East of Riyadh,1350000.0,5532.786885245901
N,5,3,5,16,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,طويق,West of Riyadh,1200000.0,4000.0
E,5,2,5,20,Yes,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,375,2,Yes,No,No,No,No,طويق,West of Riyadh,1650000.0,4400.0
N,5,2,4,20,No,5,Yes,Yes,Yes,Yes,Yes,Yes,No,350,3,Yes,No,Yes,No,No,الرمال,East of Riyadh,1700000.0,4857.142857142857
E,6,3,5,20,Yes,0,No,Yes,Yes,No,Yes,Yes,Yes,250,0,No,No,No,No,No,الدار البيضاء,South of Riyadh,850000.0,3400.0
N,6,3,5,18,Yes,0,No,Yes,Yes,No,No,Yes,No,312,2,No,No,No,No,No,الرمال,East of Riyadh,1250000.0,4006.410256410256
E,6,3,5,20,Yes,0,No,Yes,Yes,No,No,Yes,Yes,275,0,No,No,No,No,No,عكاظ,South of Riyadh,900000.0,3272.7272727272725
S,4,2,4,20,Yes,0,No,No,No,Yes,No,No,No,218,1,No,No,No,No,No,الشفا,South of Riyadh,1170000.0,5366.972477064221
E,5,1,4,20,No,0,No,No,No,Yes,No,No,Yes,250,0,No,No,No,No,No,بدر,South of Riyadh,1020000.0,4080.0
E,5,3,5,20,Yes,0,No,Yes,Yes,No,Yes,Yes,No,240,1,No,No,No,No,No,الرمال,East of Riyadh,1400000.0,5833.333333333333
E,3,3,3,20,Yes,0,No,No,No,Yes,No,No,No,420,0,No,No,No,No,No,بدر,South of Riyadh,1000000.0,2380.9523809523807
NW,2,2,3,5,No,0,No,No,No,Yes,No,No,No,260,0,No,No,No,No,No,الشفا,South of Riyadh,900000.0,3461.538461538461
S,5,3,5,15,Yes,0,No,No,Yes,Yes,No,Yes,No,240,1,Yes,No,No,No,No,الرمال,East of Riyadh,1170000.0,4875.0
N,3,2,3,20,No,0,No,No,No,Yes,No,No,Yes,300,0,No,No,No,No,No,بدر,South of Riyadh,900000.0,3000.0
E,6,3,4,20,Yes,0,No,Yes,Yes,Yes,No,Yes,No,375,2,Yes,Yes,No,No,No,المهدية,West of Riyadh,3500000.0,9333.333333333334
E,5,2,5,15,Yes,12,Yes,No,Yes,Yes,Yes,Yes,No,400,0,No,No,Yes,No,No,الخليج,East of Riyadh,2000000.0,5000.0
SW,3,1,3,21,Yes,0,No,No,No,Yes,No,No,No,426,0,No,No,No,No,No,طيبة,South of Riyadh,1080000.0,2535.211267605634
N,5,2,4,15,No,0,No,No,No,No,No,No,No,313,0,No,No,No,No,No,الحزم,West of Riyadh,710000.0,2268.370607028754
N,4,1,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,360,2,Yes,No,Yes,No,No,طويق,West of Riyadh,1550000.0,4305.555555555556
N,5,2,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,No,No,طويق,West of Riyadh,1200000.0,4000.0
N,5,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,300,1,Yes,No,No,Yes,No,ظهرة نمار,West of Riyadh,1400000.0,4666.666666666667
W,5,1,3,20,Yes,0,No,No,No,Yes,No,No,No,250,0,No,No,No,No,No,طيبة,South of Riyadh,680000.0,2720.0
S,5,1,5,20,Yes,0,No,No,No,Yes,No,No,No,244,1,No,No,No,No,No,الشرق,East of Riyadh,1350000.0,5532.786885245901
S,4,2,5,15,Yes,0,Yes,No,Yes,Yes,Yes,Yes,No,300,0,Yes,Yes,No,Yes,No,الملقا,North of Riyadh,3800000.0,12666.666666666666
SW,4,2,4,20,No,0,No,Yes,No,Yes,No,No,Yes,255,0,No,No,No,No,No,طويق,West of Riyadh,700000.0,2745.098039215686
E,5,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,290,1,Yes,No,No,No,No,ظهرة نمار,West of Riyadh,1350000.0,4655.172413793103
W,6,3,5,18,Yes,0,No,Yes,Yes,No,Yes,Yes,No,300,1,No,No,No,No,No,مطار الملك خالد الدولي,East of Riyadh,1300000.0,4333.333333333333
N,5,3,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,200,0,Yes,No,No,No,No,طويق,West of Riyadh,950000.0,4750.0
S,5,2,3,18,Yes,0,No,No,No,Yes,No,No,No,375,0,No,No,No,No,No,الشفا,South of Riyadh,660000.0,1760.0
E,5,2,4,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,252,1,No,No,No,No,No,بدر,South of Riyadh,950000.0,3769.84126984127
E,7,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,No,307,1,Yes,Yes,No,No,No,الرمال,East of Riyadh,1600000.0,5211.726384364821
N,4,2,3,20,No,0,No,No,No,Yes,No,No,No,265,0,No,No,No,No,No,الحزم,West of Riyadh,1050000.0,3962.264150943396
N,4,2,5,20,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,315,1,No,No,No,No,No,العوالي,West of Riyadh,1400000.0,4444.444444444444
S,5,2,5,18,No,2,Yes,No,Yes,Yes,Yes,Yes,No,585,3,Yes,Yes,No,No,No,المونسية,East of Riyadh,3000000.0,5128.205128205128
N,5,3,5,15,Yes,0,No,No,Yes,Yes,No,Yes,No,240,1,Yes,No,No,No,No,الرمال,East of Riyadh,1170000.0,4875.0
S,5,1,5,15,Yes,0,No,Yes,Yes,Yes,Yes,Yes,Yes,300,0,Yes,No,No,Yes,No,طويق,West of Riyadh,1250000.0,4166.666666666667
E,5,3,5,20,Yes,0,No,Yes,Yes,No,No,Yes,Yes,250,0,No,No,No,No,No,بدر,South of Riyadh,1100000.0,4400.0
E,3,1,4,20,No,0,No,Yes,Yes,Yes,Yes,Yes,No,375,0,No,No,No,No,No,طويق,West of Riyadh,1200000.0,3200.0
S,4,1,5,20,Yes,0,No,Yes,No,Yes,No,Yes,No,360,2,Yes,No,No,No,No,طويق,West of Riyadh,1500000.0,4166.666666666667
E,4,1,3,29,No,0,No,No,Yes,Yes,No,Yes,Yes,360,0,No,No,No,No,No,الشفا,South of Riyadh,790000.0,2194.4444444444443
